1	Sembungan	B-LOC	PROPN	_	_	4	nsubj	_
6	"	_	PUNCT	_	_	12	punct	_	_
7	Tujuan	_	NOUN	_	_	12	nsubj	_	_
8	saya	_	PRON	_	_	7	det	_	_
9	dari	_	ADP	_	_	10	case	_	_
10	awal	_	ADJ	_	_	7	acl	_	_
11	tidak	_	PART	_	_	12	neg	_	_
12	menjadi	_	VERB	_	_	4	parataxis	_	_
13	penyanyi	_	NOUN	_	_	12	dobj	_	_
14	K	B-ORG	PROPN	_	_	13	name	_	_
15	-	I-ORG	PUNCT	_	_	14	punct	_	_
16	pop	I-ORG	PROPN	_	_	14	name	_	_
17	.	_	PUNCT	_	_	4	punct	_	_

1	Lambda	B-ORG	PROPN	_	_	7	nsubj	_	_
2	Indonesia	I-ORG	PROPN	_	_	1	name	_	_
3	dan	_	CONJ	_	_	1	cc	_	_
4	organisasi	_	NOUN	_	_	1	conj	_	_
5	sejenis	_	NOUN	_	_	4	compound	_	_
6	lainnya	_	ADJ	_	_	5	amod	_	_
7	bermunculan	_	VERB	_	_	0	root	_	_
8	pada	_	ADP	_	_	10	case	_	_
9	akhir	_	NOUN	_	_	10	amod	_	_
10	tahun	_	NOUN	_	_	7	nmod	_	_
11	1980	_	NUM	_	_	10	nummod	_	_
12	-	_	PUNCT	_	_	11	punct	_	_
13	an	_	NUM	_	_	11	det	_	_
14	dan	_	CONJ	_	_	11	cc	_	_
15	1990	_	NUM	_	_	11	conj	_	_
16	-	_	PUNCT	_	_	15	punct	_	_
17	an	_	NUM	_	_	15	det	_	_
18	.	_	PUNCT	_	_	7	punct	_	_

1	Kota	_	NOUN	_	_	3	det	_	_
2	ini	_	DET	_	_	1	det	_	_
3	letaknya	_	NOUN	_	_	0	root	_	_
4	di	_	ADP	_	_	5	case	_	_
5	bagian	B-LOC	NOUN	_	_	3	nmod	_	_
6	utara	I-LOC	NOUN	_	_	5	amod	_	_
7	.	_	PUNCT	_	_	3	punct	_	_

1	Apa	_	NOUN	_	_	0	root	_	_
2	yang	_	PRON	_	_	4	dobj	_	_
3	ia	_	PRON	_	_	4	nsubj	_	_
4	lakukan	_	VERB	_	_	1	acl	_	_
5	,	_	PUNCT	_	_	1	punct	_	_
6	dan	_	CONJ	_	_	1	cc	_	_
7	mengapa	_	NOUN	_	_	1	conj	_	_
8	ia	_	PRON	_	_	9	nsubj	_	_
9	melakukannya	_	VERB	_	_	7	acl	_	_
10	?	_	PUNCT	_	_	1	punct	_	_

1	Soa	B-PER	PROPN	_	_	0	root	_	_
2	Sahertian	I-PER	PROPN	_	_	1	name	_	_
3	,	_	PUNCT	_	_	1	punct	_	_
4	Soa	B-PER	PROPN	_	_	1	conj	_	_
5	Tetelepta	I-PER	PROPN	_	_	4	name	_	_
6	,	_	PUNCT	_	_	1	punct	_	_
7	Soa	B-PER	PROPN	_	_	1	conj	_	_
8	Polnaya	I-PER	PROPN	_	_	7	name	_	_
9	,	_	PUNCT	_	_	1	punct	_	_
10	Soa	B-PER	PROPN	_	_	1	conj	_	_
11	Wattimury	I-PER	PROPN	_	_	10	name	_	_
12	,	_	PUNCT	_	_	1	punct	_	_
13	Soa	B-PER	PROPN	_	_	1	conj	_	_
14	Latuihamallo	I-PER	PROPN	_	_	13	name	_	_
15	,	_	PUNCT	_	_	1	punct	_	_
16	dan	_	CONJ	_	_	1	cc	_	_
17	Soa	B-PER	PROPN	_	_	1	conj	_	_
18	Aponno	I-PER	PROPN	_	_	17	name	_	_
19	.	_	PUNCT	_	_	1	punct	_	_

1	Apakah	_	NOUN	_	_	0	root	_	_
2	gelasnya	_	NOUN	_	_	1	acl	_	_
3	setengah	_	ADJ	_	_	4	amod	_	_
4	kosong	_	ADJ	_	_	2	amod	_	_
5	atau	_	CONJ	_	_	4	cc	_	_
6	setengah	_	ADJ	_	_	7	amod	_	_
7	penuh	_	ADJ	_	_	4	conj	_	_
8	?	_	PUNCT	_	_	1	punct	_	_

1	Itulah	_	DET	_	_	2	det	_	_
2	sekilas	_	NOUN	_	_	0	root	_	_
3	wajah	_	NOUN	_	_	2	compound	_	_
4	/	_	SYM	_	_	3	punct	_	_
5	cermin	_	NOUN	_	_	3	conj	_	_
6	desa	B-LOC	NOUN	_	_	3	det	_	_
7	Mundu	I-LOC	PROPN	_	_	6	name	_	_
8	.	_	PUNCT	_	_	2	punct	_	_

1	Bagaimana	_	ADV	_	_	5	advmod	_	_
2	bisa	_	ADV	_	_	5	advmod	_	_
3	kita	_	PRON	_	_	5	nsubj	_	_
4	tidak	_	PART	_	_	5	neg	_	_
5	mengungkapkan	_	VERB	_	_	0	root	_	_
6	kesedihan	_	NOUN	_	_	5	dobj	_	_
7	yang	_	PRON	_	_	8	nsubj	_	_
8	mendalam	_	ADJ	_	_	6	acl	_	_
9	akan	_	ADV	_	_	8	advmod	_	_
10	semua	_	DET	_	_	11	det	_	_
11	hal	_	NOUN	_	_	8	dobj	_	_
12	ini	_	DET	_	_	11	det	_	_
13	?	_	PUNCT	_	_	5	punct	_	_

1	Pdt	B-PER	PROPN	_	_	4	nsubj	_	_
2	.	I-PER	PUNCT	_	_	1	punct	_	_
3	Fecki	I-PER	PROPN	_	_	1	name	_	_
4	merupakan	_	VERB	_	_	0	root	_	_
5	Pemimpin	_	PROPN	_	_	4	acl	_	_
6	Umum	_	PROPN	_	_	5	name	_	_
7	/	_	SYM	_	_	5	punct	_	_
8	Redaksi	B-ORG	PROPN	_	_	5	name	_	_
9	Renungan	I-ORG	PROPN	_	_	8	name	_	_
10	Harian	I-ORG	PROPN	_	_	9	name	_	_
11	Anggur	I-ORG	PROPN	_	_	10	name	_	_
12	Baru	I-ORG	PROPN	_	_	11	name	_	_
13	.	_	PUNCT	_	_	4	punct	_	_
14	Ia	_	PRON	_	_	15	nsubj	_	_
15	menjabat	_	VERB	_	_	4	dep	_	_
16	sebagai	_	ADP	_	_	17	case	_	_
17	Sekretaris	_	NOUN	_	_	15	nmod	_	_
18	II	_	NUM	_	_	19	nummod	_	_
19	BPH	B-ORG	NOUN	_	_	17	compound	_	_
20	Sinode	I-ORG	NOUN	_	_	19	compound	_	_
21	Gereja	I-ORG	NOUN	_	_	20	compound	_	_
22	Bethel	I-ORG	PROPN	_	_	21	name	_	_
23	Indonesia	B-LOC	PROPN	_	_	22	name	_	_
24	untuk	_	ADP	_	_	25	case	_	_
25	periode	_	NOUN	_	_	17	nmod	_	_
26	2008	_	NUM	_	_	25	nummod	_	_
27	-	_	PUNCT	_	_	26	punct	_	_
28	2012	_	NUM	_	_	26	nummod	_	_
29	.	_	PUNCT	_	_	15	punct	_	_

1	Lelaki	B-MISC	PROPN	_	_	5	nsubj	_	_
2	dan	I-MISC	CONJ	_	_	1	cc	_	_
3	Telaga	I-MISC	PROPN	_	_	1	conj	_	_
4	adalah	_	VERB	_	_	5	cop	_	_
5	album	_	NOUN	_	_	0	root	_	_
6	solo	_	NOUN	_	_	5	amod	_	_
7	Franky	B-PER	PROPN	_	_	5	name	_	_
8	Sahilatua	I-PER	PROPN	_	_	7	name	_	_
9	yang	_	PRON	_	_	10	nmod	_	_
10	berisi	_	VERB	_	_	5	acl	_	_
11	tiga	_	NUM	_	_	12	nummod	_	_
12	lagu	_	NOUN	_	_	10	dobj	_	_
13	baru	_	ADJ	_	_	12	amod	_	_
14	(	_	PUNCT	_	_	16	punct	_	_
15	"	_	PUNCT	_	_	16	punct	_	_
16	Lelaki	B-MISC	PROPN	_	_	12	appos	_	_
17	dan	I-MISC	CONJ	_	_	16	cc	_	_
18	Telaga	I-MISC	PROPN	_	_	16	conj	_	_
19	"	_	PUNCT	_	_	16	punct	_	_
20	,	_	PUNCT	_	_	16	punct	_	_
21	"	_	PUNCT	_	_	22	punct	_	_
22	Hitam	B-MISC	PROPN	_	_	16	conj	_	_
23	Putih	I-MISC	PROPN	_	_	22	name	_	_
24	"	_	PUNCT	_	_	22	punct	_	_
25	,	_	PUNCT	_	_	22	punct	_	_
26	dan	_	CONJ	_	_	16	cc	_	_
27	"	_	PUNCT	_	_	28	punct	_	_
28	Nyanyian	B-MISC	PROPN	_	_	16	conj	_	_
29	Para	I-MISC	PROPN	_	_	30	det	_	_
30	Mantan	I-MISC	PROPN	_	_	28	name	_	_
31	"	_	PUNCT	_	_	28	punct	_	_
32	)	_	PUNCT	_	_	16	punct	_	_
33	dan	_	CONJ	_	_	10	cc	_	_
34	sisanya	_	NOUN	_	_	36	nsubj	_	_
35	adalah	_	VERB	_	_	36	cop	_	_
36	lagu	_	NOUN	_	_	10	conj	_	_
37	-	_	PUNCT	_	_	36	punct	_	_
38	lagu	_	NOUN	_	_	36	mwe	_	_
39	yang	_	PRON	_	_	40	nsubjpass	_	_
40	diambil	_	VERB	_	_	36	acl	_	_
41	dari	_	ADP	_	_	42	case	_	_
42	album	_	NOUN	_	_	40	nmod	_	_
43	-	_	PUNCT	_	_	42	punct	_	_
44	album	_	NOUN	_	_	42	mwe	_	_
45	solo	_	NOUN	_	_	42	compound	_	_
46	Franky	B-PER	PROPN	_	_	45	name	_	_
47	sebelumnya	_	ADJ	_	_	42	amod	_	_
48	maupun	_	CONJ	_	_	42	cc	_	_
49	album	_	NOUN	_	_	42	conj	_	_
50	-	_	PUNCT	_	_	49	punct	_	_
51	album	_	NOUN	_	_	49	mwe	_	_
52	Franky	B-PER	PROPN	_	_	49	name	_	_
53	&amp;	_	SYM	_	_	52	punct	_	_
54	Jane	B-PER	PROPN	_	_	53	name	_	_
55	.	_	PUNCT	_	_	5	punct	_	_

1	Hal	_	NOUN	_	_	4	nsubjpass	_	_
2	ini	_	DET	_	_	1	det	_	_
3	dapat	_	ADV	_	_	4	advmod	_	_
4	disebabkan	_	VERB	_	_	0	root	_	_
5	oleh	_	ADP	_	_	6	case	_	_
6	konsumsi	_	NOUN	_	_	4	nmod	_	_
7	obat	_	NOUN	_	_	6	compound	_	_
8	yang	_	PRON	_	_	9	nsubj	_	_
9	mengandung	_	VERB	_	_	6	acl	_	_
10	kortikosteroid	B-MISC	NOUN	_	_	9	dobj	_	_
11	seperti	_	ADP	_	_	12	case	_	_
12	medroksiprogesteron	B-MISC	NOUN	_	_	10	nmod	_	_
13	asetat	I-MISC	ADJ	_	_	12	amod	_	_
14	yang	_	PRON	_	_	16	nsubjpass	_	_
15	biasa	_	ADV	_	_	16	advmod	_	_
16	digunakan	_	VERB	_	_	12	acl	_	_
17	untuk	_	ADP	_	_	19	case	_	_
18	berbagai	_	DET	_	_	19	det	_	_
19	pengobatan	_	NOUN	_	_	16	nmod	_	_
20	penyakit	_	NOUN	_	_	19	compound	_	_
21	akut	_	ADJ	_	_	20	amod	_	_
22	,	_	PUNCT	_	_	6	punct	_	_
23	atau	_	CONJ	_	_	6	cc	_	_
24	konsumsi	_	NOUN	_	_	6	conj	_	_
25	bahan	_	NOUN	_	_	24	compound	_	_
26	kontrasepsi	_	NOUN	_	_	25	compound	_	_
27	yang	_	PRON	_	_	28	nsubj	_	_
28	mengandung	_	VERB	_	_	24	acl	_	_
29	estrogen	B-MISC	NOUN	_	_	28	dobj	_	_
30	seperti	_	ADP	_	_	31	case	_	_
31	mestranol	B-MISC	NOUN	_	_	29	nmod	_	_
32	,	_	PUNCT	_	_	24	punct	_	_
33	atau	_	CONJ	_	_	6	cc	_	_
34	menjalani	_	VERB	_	_	6	conj	_	_
35	adrenalektomi	B-MISC	NOUN	_	_	34	dobj	_	_
36	yang	_	PRON	_	_	38	nsubj	_	_
37	biasanya	_	ADV	_	_	38	advmod	_	_
38	mengakibatkan	_	VERB	_	_	35	acl	_	_
39	terjadinya	_	VERB	_	_	38	xcomp	_	_
40	adenoma	B-MISC	NOUN	_	_	39	dobj	_	_
41	pada	_	ADP	_	_	42	case	_	_
42	kelenjar	B-MISC	NOUN	_	_	39	nmod	_	_
43	hipofisis	I-MISC	NOUN	_	_	42	compound	_	_
44	.	_	PUNCT	_	_	4	punct	_	_

1	Melingge	B-LOC	PROPN	_	_	3	nsubj	_	_
2	adalah	_	VERB	_	_	3	cop	_	_
3	gampong	B-MISC	PROPN	_	_	0	root	_	_
4	di	_	ADP	_	_	5	case	_	_
5	kecamatan	B-LOC	NOUN	_	_	3	nmod	_	_
6	Pulo	I-LOC	PROPN	_	_	5	name	_	_
7	Aceh	I-LOC	PROPN	_	_	6	name	_	_
8	,	_	PUNCT	_	_	5	punct	_	_
9	Kabupaten	B-LOC	PROPN	_	_	5	appos	_	_
10	Aceh	I-LOC	PROPN	_	_	9	name	_	_
11	Besar	I-LOC	PROPN	_	_	10	amod	_	_
12	,	_	PUNCT	_	_	9	punct	_	_
13	Aceh	B-LOC	PROPN	_	_	9	appos	_	_
14	,	_	PUNCT	_	_	13	punct	_	_
15	Indonesia	B-LOC	PROPN	_	_	13	appos	_	_
16	.	_	PUNCT	_	_	3	punct	_	_

1	Penggabungan	_	PROPN	_	_	4	nsubj	_	_
2	dari	_	ADP	_	_	3	case	_	_
3	ketiganya	_	NOUN	_	_	1	nmod	_	_
4	menghasilkan	_	VERB	_	_	0	root	_	_
5	kembalinya	_	NOUN	_	_	4	dobj	_	_
6	ke	_	ADP	_	_	7	case	_	_
7	Tao	B-MISC	PROPN	_	_	5	nmod	_	_
8	.	_	PUNCT	_	_	4	punct	_	_
9	Dewata	B-MISC	PROPN	_	_	13	nsubj	_	_
10	Murni	I-MISC	PROPN	_	_	9	name	_	_
11	pertama	_	NUM	_	_	9	nummod	_	_
12	adalah	_	VERB	_	_	13	cop	_	_
13	chi	_	PROPN	_	_	4	dep	_	_
14	universal	_	ADJ	_	_	13	amod	_	_
15	dan	_	CONJ	_	_	14	cc	_	_
16	surgawi	_	ADJ	_	_	14	conj	_	_
17	.	_	PUNCT	_	_	13	punct	_	_

1	Widodo	B-PER	PROPN	_	_	8	nsubj	_	_
2	Cahyono	I-PER	PROPN	_	_	1	name	_	_
3	Putro	I-PER	PROPN	_	_	2	name	_	_
4	(	_	PUNCT	_	_	1	punct	_	_
5	)	_	PUNCT	_	_	1	punct	_	_
6	adalah	_	VERB	_	_	8	cop	_	_
7	seorang	_	DET	_	_	8	det	_	_
8	pelatih	_	NOUN	_	_	0	root	_	_
9	dan	_	CONJ	_	_	8	cc	_	_
10	pemain	B-MISC	NOUN	_	_	8	conj	_	_
11	sepak	I-MISC	NOUN	_	_	10	compound	_	_
12	bola	I-MISC	NOUN	_	_	11	compound	_	_
13	legendaris	_	NOUN	_	_	12	compound	_	_
14	Indonesia	B-LOC	PROPN	_	_	13	name	_	_
15	.	_	PUNCT	_	_	8	punct	_	_

1	Istilah	_	NOUN	_	_	10	nsubjpass	_	_
2	"	_	PUNCT	_	_	3	punct	_	_
3	Kecamatan	_	NOUN	_	_	1	compound	_	_
4	"	_	PUNCT	_	_	3	punct	_	_
5	di	_	ADP	_	_	6	case	_	_
6	provinsi	B-LOC	PROPN	_	_	1	nmod	_	_
7	Nanggroe	I-LOC	PROPN	_	_	6	name	_	_
8	Aceh	I-LOC	PROPN	_	_	6	appos	_	_
9	Darussalam	I-LOC	PROPN	_	_	8	name	_	_
10	disebut	_	VERB	_	_	0	root	_	_
11	juga	_	ADV	_	_	10	advmod	_	_
12	dengan	_	ADP	_	_	14	case	_	_
13	"	_	PUNCT	_	_	14	punct	_	_
14	Sagoe	B-MISC	PROPN	_	_	10	nmod	_	_
15	Cut	I-MISC	PROPN	_	_	14	name	_	_
16	"	_	PUNCT	_	_	14	punct	_	_
17	sedangkan	_	SCONJ	_	_	20	mark	_	_
18	di	_	ADP	_	_	19	case	_	_
19	Papua	B-LOC	PROPN	_	_	20	nmod	_	_
20	disebut	_	VERB	_	_	10	advcl	_	_
21	dengan	_	ADP	_	_	22	case	_	_
22	istilah	_	NOUN	_	_	20	nmod	_	_
23	"	_	PUNCT	_	_	24	punct	_	_
24	Distrik	_	PROPN	_	_	22	name	_	_
